'Commune';'numero';'arrondissement;'canton';population;inscrits;code postal;Foyers fiscaux;Exoneration en cours;pourcent;Exoneration 2020;pourcent;"degrevement 
En Keuros"
'Ablon-sur-Seine';1;1;15;5485;3132;94480;2298;200;8,70 %;1421;61,84 %;1348
'Alfortville';2;1;1;45285;24064;94140;19208;2852;14,85 %;11598;60,38 %;8114
'Arcueil';3;3;2;21088;12554;94110;9043;1254;13,87 %;5231;57,85 %;3038
'Boissy-Saint-Léger';4;1;16;16275;8330;94470;6069;794;13,08 %;3869;63,75 %;3000
'Bonneuil-sur-Marne';11;1;18;17293;8962;94380;5913;949;16,05 %;4062;68,70 %;2601
'Bry-sur-Marne';15;2;22;16743;11621;94360;6529;409;6,26 %;2877;44,06 %;2135
'Cachan';16;3;2;30258;16875;94230;11277;1277;11,32 %;6000;53,21 %;4102
'Champigny-sur-Marne';17;2;93;77009;42688;94500;30162;4590;15,22 %;18611;61,70 %;13174
'Charenton-le-Pont';18;1;5;31112;19819;94220;13856;1187;8,57 %;6511;46,99 %;4143
'Chennevières-sur-Marne';19;2;4;18221;10289;94430;7557;856;11,33 %;4458;58,99 %;4096
'Chevilly-Larue';21;3;19;19275;10704;94550;7296;763;10,46 %;4594;62,97 %;2749
'Choisy-le-Roi';22;1;6;43781;20507;94600;17295;2410;13,93 %;11096;64,16 %;7249
'Créteil';28;1;94;91780;45103;94000;34121;5152;15,10 %;21093;61,82 %;15626
'Fontenay-sous-Bois';33;2;9;53923;32766;94120;21665;2838;13,10 %;11573;53,42 %;7483
'Fresnes';34;3;10;26980;15275;94260;10353;887;8,57 %;6341;61,25 %;4991
'Gentilly';37;3;12;16478;9692;94250;7520;1448;19,26 %;4280;56,91 %;1849
'Ivry-sur-Seine';41;1;11;60180;27797;94200;25007;4267;17,06 %;15460;61,82 %;9020
'Joinville-le-Pont';42;2;5;18577;12402;94340;8232;854;10,37 %;4144;50,34 %;3442
'L'Haÿ-les-Roses';38;3;10;31029;18971;94240;12859;1360;10,58 %;7181;55,84 %;6022
'La Queue-en-Brie';60;2;16;12048;7134;94510;4215;358;8,49 %;2510;59,55 %;1918
'Le Kremlin-Bicêtre';43;3;12;25871;14610;94270;10650;1282;12,04 %;6052;56,83 %;3963
'Le Perreux-sur-Marne';58;2;14;33994;23264;94170;14915;1209;8,11 %;6914;46,36 %;4601
'Le Plessis-Trévise';59;2;22;19854;11705;94420;7887;698;8,85 %;4446;56,37 %;3751
'Limeil-Brévannes';44;1;21;25145;12651;94450;10068;830;8,24 %;6850;68,04 %;4680
'Maisons-Alfort';46;1;13;55420;36178;94700;24556;2198;8,95 %;13569;55,26 %;9436
'Mandres-les-Roses';47;1;16;4491;3117;94520;1683;156;9,27 %;819;48,66 %;591
'Marolles-en-Brie';48;1;16;4913;3807;94440;1696;83;4,89 %;640;37,74 %;752
'Nogent-sur-Marne';52;2;95;31590;22470;94130;14599;1138;7,80 %;6053;41,46 %;4550
'Noiseau';53;2;16;4722;3392;94880;1796;84;4,68 %;966;53,79 %;944
'Orly';54;1;15;22857;11228;94310;8505;1381;16,24 %;5841;68,68 %;3869
'Ormesson-sur-Marne';55;2;18;10186;6693;94490;3881;308;7,94 %;1890;48,70 %;2052
'Périgny';56;1;16;2567;1756;94520;980;50;5,10 %;493;50,31 %;473
'Rungis';65;3;19;5716;4037;94150;2261;120;5,31 %;1054;46,62 %;654
'Saint-Mandé';67;2;23;22549;15525;94160;9844;905;9,19 %;3763;38,23 %;3279
'Saint-Maur-des-Fossés';68;1;96;76181;51367;94100;33427;2889;8,64 %;14670;43,89 %;13105
'Saint-Maurice';69;1;5;14978;8303;94410;6128;522;8,52 %;3052;49,80 %;1904
'Santeny';70;1;16;3718;2596;94440;1358;67;4,93 %;574;42,27 %;605
'Sucy-en-Brie';71;1;18;26226;16955;94370;10244;787;7,68 %;5178;50,55 %;4816
'Thiais';73;3;19;29138;16544;94320;11676;1239;10,61 %;6741;57,73 %;4226
'Valenton';74;1;21;13511;6262;94460;4764;813;17,07 %;3395;71,26 %;2053
'Villecresnes';75;1;16;9771;6643;94440;3797;283;7,45 %;1967;51,80 %;1991
'Villejuif';76;3;20;58169;29238;94800;22427;2982;13,30 %;13980;62,34 %;10145
'Villeneuve-Saint-Georges';78;1;97;33176;12882;94190;11941;2272;19,03 %;8321;69,68 %;5818
'Villeneuve-le-Roi';77;1;15;19978;10866;94290;7768;1005;12,94 %;4986;64,19 %;3214
'Villiers-sur-Marne';79;2;22;28500;16275;94350;11277;1507;13,36 %;6390;56,66 %;5196
'Vincennes';80;2;98;49600;32923;94300;22820;2179;9,55 %;8882;38,92 %;6000
'Vitry-sur-Seine';81;1;99;91870;45568;94400;34814;5703;16,38 %;22487;64,59 %;11701
