code commune;nom;foyer;exoneration2017;exoneration2020;degrevement2020;taux actuel; taux 2020
01;ABLON-SUR-SEINE (94480) VAL-DE-MARNE;2298;200;1421;1348147;8.7;70.54
02;ALFORTVILLE (94140) VAL-DE-MARNE;19208;2852;11598;8114140;14.85;75.23
03;ARCUEIL (94110) VAL-DE-MARNE;9043;1254;5231;3038024;13.87;71.71
04;BOISSY-SAINT-LEGER (94470) VAL-DE-MARNE;6069;794;3869;3000969;13.08;76.83
11;BONNEUIL-SUR-MARNE (94380) VAL-DE-MARNE;5913;949;4062;2601208;16.05;84.75
15;BRY-SUR-MARNE (94360) VAL-DE-MARNE;6529;409;2877;2135771;6.26;50.33
16;CACHAN (94230) VAL-DE-MARNE;11277;1277;6000;4102853;11.32;64.53
17;CHAMPIGNY-SUR-MARNE (94500) VAL-DE-MARNE;30162;4590;18611;13174411;15.22;76.92
18;CHARENTON-LE-PONT (94220) VAL-DE-MARNE;13856;1187;6511;4143568;8.57;55.56
19;CHENNEVIERES-SUR-MARNE (94430) VAL-DE-MARNE;7557;856;4458;4096688;11.33;70.32
21;CHEVILLY-LARUE (94550) VAL-DE-MARNE;7296;763;4594;2749652;10.46;73.42
22;CHOISY-LE-ROI (94600) VAL-DE-MARNE;17295;2410;11096;7249289;13.93;78.09
28;CRETEIL (94000) VAL-DE-MARNE;34121;5152;21093;15626859;15.1;76.92
33;FONTENAY-SOUS-BOIS (94120) VAL-DE-MARNE;21665;2838;11573;7483858;13.1;66.52
34;FRESNES (94260) VAL-DE-MARNE;10353;887;6341;4691157;8.57;69.82
37;GENTILLY (94250) VAL-DE-MARNE;7520;1448;4280;1849090;19.26;76.17
38;L'HAY-LES-ROSES (94240) VAL-DE-MARNE;12859;1360;7181;6022311;10.58;66.42
41;IVRY-SUR-SEINE (94200) VAL-DE-MARNE;25007;4267;15460;9020445;17.06;78.89
42;JOINVILLE-LE-PONT (94340) VAL-DE-MARNE;8232;854;4144;3442413;10.37;60.71
43;LE KREMLIN-BICETRE (94270) VAL-DE-MARNE;10650;1282;6052;3963584;12.04;68.86
44;LIMEIL-BREVANNES (94450) VAL-DE-MARNE;10068;830;6850;4680933;8.24;76.28
46;MAISONS-ALFORT (94700) VAL-DE-MARNE;24556;2198;13569;9436838;8.95;64.21
47;MANDRES-LES-ROSES (94520) VAL-DE-MARNE;1683;156;819;591472;9.27;57.93
48;MAROLLES-EN-BRIE (94440) VAL-DE-MARNE;1696;83;640;752001;4.89;42.63
52;NOGENT-SUR-MARNE (94130) VAL-DE-MARNE;14599;1138;6053;4550008;7.8;49.26
53;NOISEAU (94880) VAL-DE-MARNE;1796;84;966;944613;4.68;58.46
54;ORLY (94310) VAL-DE-MARNE;8505;1381;5841;3869873;16.24;84.91
55;ORMESSON-SUR-MARNE (94490) VAL-DE-MARNE;3881;308;1890;2052993;7.94;56.63
56;PERIGNY (94520) VAL-DE-MARNE;980;50;493;473161;5.1;55.41
58;LE PERREUX-SUR-MARNE (94170) VAL-DE-MARNE;14915;1209;6914;4601357;8.11;54.46
59;LE PLESSIS-TREVISE (94420) VAL-DE-MARNE;7887;698;4446;3751200;8.85;65.22
60;LA QUEUE-EN-BRIE (94510) VAL-DE-MARNE;4215;358;2510;1918822;8.49;68.04
65;RUNGIS (94150) VAL-DE-MARNE;2261;120;1054;654082;5.31;51.92
67;SAINT-MANDE (94160) VAL-DE-MARNE;9844;905;3763;3279345;9.19;47.42
68;SAINT-MAUR-DES-FOSSES (94100\/94210) VAL-DE-MARNE;33427;2889;14670;13105492;8.64;52.53
69;SAINT-MAURICE (94410) VAL-DE-MARNE;6128;522;3052;1904989;8.52;58.32
70;SANTENY (94440) VAL-DE-MARNE;1358;67;574;605618;4.93;47.2
71;SUCY-EN-BRIE (94370) VAL-DE-MARNE;10244;787;5178;4816966;7.68;58.23
73;THIAIS (94320) VAL-DE-MARNE;11676;1239;6741;4226239;10.61;68.35
74;VALENTON (94460) VAL-DE-MARNE;4764;813;3395;2053308;17.07;88.33
75;VILLECRESNES (94440) VAL-DE-MARNE;3797;283;1967;1991951;7.45;59.26
76;VILLEJUIF (94800) VAL-DE-MARNE;22427;2982;13980;10145087;13.3;75.63
77;VILLENEUVE-LE-ROI (94290) VAL-DE-MARNE;7768;1005;4986;3214506;12.94;77.12
78;VILLENEUVE-SAINT-GEORGES (94190) VAL-DE-MARNE;11941;2272;8321;5818161;19.03;88.71
79;VILLIERS-SUR-MARNE (94350) VAL-DE-MARNE;11277;1507;6390;5196730;13.36;70.03
80;VINCENNES (94300) VAL-DE-MARNE;22820;2179;8882;6000069;9.55;48.47
81;VITRY-SUR-SEINE (94400) VAL-DE-MARNE;34814;5703;22487;11701635;16.38;80.97
